V1,V1-3rd,V1-ing,V2,V3
accept,accepts,accepting,accepted,accepted
achieve,achieves,achieving,achieved,achieved
act,acts,acting,acted,acted
add,adds,adding,added,added
admit,admits,admitting,admitted ,admitted
affect,affects,affecting,affected,affected
agree,agrees,agreeing,agreed,agreed
allow,allows,allowing,allowed,allowed
announce,announces,announcing,announced,announced
appear,appears,appearing,appeared,appeared
apply,applies,applying,applied,applied
argue,argues,arguing,argued,argued
arrive,arrives,arriving,arrived,arrived
ask,asks,asking,asked,asked
assume,assume,assuming,assumed,assumed
avoid,avoids,avoiding,avoided,avoided
base,bases,basing,based,based
be,is,being,was/were,been
become,becomes,becoming,became,become
begin,begins,beginning,began,begun
believe,believes,believing,believed,believed
bite,bites,biting,bit,bitten
blow,blows,blowing,blew,blown
break,breaks,breaking,broke,broken
bring,brings,bringing,brought,brought
build,builds,building,built,built
buy,buys,buying,bought,bought
call,calls,calling,called,called
carry,carries,carrying,carried,carried
catch,catches,catching,caught,caught
cause,causes,causing,caused,caused
change,changes,changing,changed,changed
choose,chooses,choosing,chose,chosen
claim,claims,claiming,claimed,claimed
close,closes,closing,closed,closed
come,comes,coming,came,come
compare,compares,comparing,compared,compared
consider,considers,considering,considered,considered
contain,contains,containing,contained,contained
continue,continues,continuing,continued,continued
control,controls,controlling,controlled,controlled
cost,costs,costing,cost,cost
cover,covers,covering,covered,covered
create,creates,creating,created,created
cut,cuts,cutting,cut,cut
deal,deals,dealing,dealt,dealt
decide,decides,deciding,decided,decided
describe,describes,describing,described,described
design,designs,designing,designed,designed
determine,determines,determining,determined,determined
develop,develops,developing,developed,developed
die,dies,dying,died,died
discuss,discusses,discussing,discussed,discussed
do,does,doing,did,done
draw,draws,drawing,drew,drawn
drink,drinks,drinking,drank,drunk
drive,drives,driving,drove,driven
eat,eats,eating,ate,eaten
encourage,encourages,encouraging,encouraged,encouraged
end,ends,ending,ended,ended
enjoy,enjoys,enjoying,enjoyed,enjoyed
ensure,ensures,ensuring,ensured,ensured
enter,enters,entering,entered,entered
establish,establishes,establishing,established,established
exist,exists,existing,existed,existed
expect,expects,expecting,expected,expected
explain,explains,explaining,explained,explained
express,expresses,expressing,expressed,expressed
face,faces,facing,faced,faced
fail,fails,failing,failed,failed
fall,falls,falling,fell,fallen
feel,feels,feeling,felt,felt
fight,fights,fighting,fought,fought
fill,fills,filling,filled,filled
find,finds,finding,found,found
finish,finishes,finishing,finished,finished
fly,flies,flying,flew,flown
follow,follows,following,followed,followed
force,forces,forcing,forced,forced
forget,forgets,forgetting,forgot,forgotten
form,forms,forming,formed,formed
get,gets,getting,got,gotten/got
give,gives,giving,gave,given
go,goes,going,went,gone
going,goes,going,went,gone
grow,grows,growing,grew,grown
happen,happens,happening,happened,happened
have,has,having,had,had
hear,hears,hearing,heard,heard
help,helps,helping,helped,helped
hit,hits,hitting,hit,hit
hold,holds,holding,held,held
hope,hopes,hoping,hoped,hoped
hurt,hurts,hurting,hurt,hurt
identify,identifies,identifying,identified,identified
improve ,improves,improving,improved,improved
include,includes,including,included,included
increase,increases,increasing,increased,increased
indicate,indicates,indicating,indicated,indicated
introduce,introduces,introducing,introduced,introduced
involve,involves,involving,involved,involved
join,joins,joining,joined,joined
keep,keeps,keeping,kept,kept
kill,kills,killing,killed,killed
know,knows,knowing,knew,known
lead,leads,leading,led,led
learn,learns,learning,learned,learned
leave,leaves,leaving,left,left
let,lets,letting,let,let
lie,lies,lying,lied,lied
like,likes,liking,liked,liked
listen,listens,listening,listened,listened
live,lives,living,lived,lived
look,looks,looking,looked,looked
lose,loses,losing,lost,lost
love,loves,loving,loved,loved
maintain,maintains,maintaining,maintained,maintained
make,makes,making,made,made
manage,manages,managing,managed,managed
mean,means,meaning,meant,meant
meet,meets,meeting,met,met
mention,mentions,mentioning,mentioned,mentioned
move,moves,moving,moved,moved
need,needs,needing,needed,needed
note,notes,noting,noted,noted
obtain,obtains,obtaining,obtained,obtained
occur,occurs,occurring,occurred,occurred
offer,offers,offering,offered,offered
open,opens,opening,opened,opened
pass,passes,passing,passed,passed
pay,pays,paying,paid,paid
pick,picks,picking,picked,picked
place,places,placing,placed,placed
plan,plans,planning,planned,planned
play,plays,playing,played,played
point,points,pointing,pointed,pointed
prepare,prepares,preparing ,prepared,prepared
present,presents,presenting,presented,presented
produce,produces,producing,produced,produced
prove,proves,proving,proved,proved
provide,provides,providing,provided,provided
publish,publishes,publishing,published,published
pull,pulls,pulling,pulled,pulled
put,puts,putting,put,put
quit,quits,quitting,quit,quit
raise,raises,raising,raised,raised
reach,reaches,reaching,reached,reached
read,reads,reading,read,read
receive,receives,receiving,received,received
reduce,reduces,reducing,reduced,reduced
refer,refers,referring,referred,referred
reflect ,reflects,reflecting ,reflected,reflected
relate,relates,relating,related,related
remain,remains,remaining,remained,remained
remember,remembers,remembering,remembered,remembered
remove,removes,removing,removed,removed
replace,replaces,replacing,replaced,replaced
report,reports,reporting,reported,reported
represent,represents,representing,represented,represented
require,requires,requiring,required,required
return,returns,returning,returned,returned
ride,rides,riding,rode,ridden
ring,rings,ringing,rang,rung
rise,rises,rising,rose,risen
run,runs,running,ran,run
save,saves,saving,saved,saved
say,says,saying,said,said
see,sees,seeing,saw,seen
seek,seeks,seeking,sought,sought
seem,seems,seeming,seemed,seemed
sell,sells,selling,sold,sold
send,sends,sending,sent,sent
serve,serves,serving,served,served
set,sets,setting,set,set
shake,shakes,shaking,shook,shaken
share,shares,sharing,shared,shared
shine,shines,shining,shone,shone
shoot,shoots,shooting,shot,shot
show,shows,showing,showed,shown
shrink,shrinks,shrinking,shrank/shrunk,shrunk
shut,shuts,shutting,shut,shut
sing,sings,singing,sang,sung
sink,sinks,sinking,sank,sunk
sit,sits,sitting,sat,sat
sleep,sleeps,sleeping,slept,slept
smile,smiles,smiling ,smiled,smiled
speak,speaks,speaking,spoke,spoken
spell,spells,spelling,spelled/spelt,spelled/spelt
spend,spends,spending,spent,spent
spoil,spoils,spoiling,spoiled/spoilt,spoiled/spoilt
stand,stands,standing,stood,stood
start,starts,starting,started,started
stay,stays,staying,stayed,stayed
steal,steals,stealing,stole,stolen
stop,stops,stopping,stopped,stopped
suffer,suffers,suffering,suffered,suffered
suggest,suggests,suggesting,suggested,suggested
support,supports,supporting,supported,supported
suppose,supposes,supposing,supposed,supposed
swear,swears,swearing,swore,sworn
sweep,sweeps,sweeping,swept,swept
swim,swims,swimming,swam,swum
take,takes,taking,took,taken
talk,talks,talking,talked,talked
teach,teaches,teaching,taught,taught
tear,tears,tearing,tore,torn
tell,tells,telling,told,told
tend,tends,tending,tended,tended
thank,thanks,thanking,thanked,thanked
think,thinks,thinking,thought,thought
throw,throws,throwing,threw,thrown
treat,treats,treating,treated,treated
try,tries,trying,tried,tried
turn,turns,turning,turned,turned
understand,understands,understanding,understood,understood
use,uses,using,used,used
visit,visits,visiting,visited,visited
wait,waits,waiting,waited,waited
wake,wakes,waking,woke,woken
walk,walks,walking,walked,walked
want,wants,wanting,wanted,wanted
watch,watches,watching,watched,watched
wear,wears,wearing,wore,worn
weep,weeps,weeping,wept,wept
win,wins,winning,won,won
wish,wishes,wishing,wished,wished
wonder,wonders,wondering,wondered,wondered
work,works,working,worked,worked
write,writes,writing,wrote,written